Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Month,Year,Weekday,Tot_Mos_Species
2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",PIPIENS/RESTUANS,21, N STAVE ST,50,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,5,2007,Tuesday,1
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",PIPIENS/RESTUANS,22, N CANNON DR,54,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,5,2007,Tuesday,2
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",RESTUANS,22, N CANNON DR,54,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,5,2007,Tuesday,3
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",PIPIENS/RESTUANS,22, W 113TH ST,86,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,5,2007,Tuesday,1
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",RESTUANS,22, W 113TH ST,86,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,5,2007,Tuesday,1
2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",RESTUANS,11, S PEORIA ST,91,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,5,2007,Tuesday,1
2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",RESTUANS,17, W 95TH ST,94,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,5,2007,Tuesday,3
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",RESTUANS,22, W 89TH ST,96,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,5,2007,Tuesday,5
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",PIPIENS,22, W 89TH ST,96,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,5,2007,Tuesday,1
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",PIPIENS/RESTUANS,53, N STREETER DR,129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,5,2007,Tuesday,1
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",RESTUANS,53, N STREETER DR,129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,2,0,5,2007,Tuesday,2
2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",PIPIENS/RESTUANS,65, N OAK PARK AVE,143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,5,2007,Tuesday,1
2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",PIPIENS/RESTUANS,75, N OAKLEY AVE,148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,1,0,5,2007,Tuesday,1
2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",RESTUANS,15, N LONG AVE,153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,5,2007,Tuesday,1
2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",RESTUANS,89, S CARPENTER ST,159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,5,2007,Tuesday,1
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",PIPIENS/RESTUANS,41, N OAK PARK AVE,2,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,6,2007,Tuesday,3
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",RESTUANS,41, N OAK PARK AVE,2,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,6,2007,Tuesday,5
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",PIPIENS,41, N OAK PARK AVE,2,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6,2007,Tuesday,1
2007-06-05,"7900 West Foster Avenue, Chicago, IL 60656, USA",PIPIENS/RESTUANS,79, W FOSTER AVE,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,6,2007,Tuesday,1
2007-06-05,"7900 West Foster Avenue, Chicago, IL 60656, USA",RESTUANS,79, W FOSTER AVE,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,2,0,6,2007,Tuesday,2
2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",PIPIENS/RESTUANS,15, W WEBSTER AVE,45,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,6,2007,Tuesday,1
2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",RESTUANS,15, W WEBSTER AVE,45,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,6,2007,Tuesday,2
2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",PIPIENS,15, W WEBSTER AVE,45,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,6,2007,Tuesday,1
2007-06-05,"2500 West Grand Avenue, Chicago, IL 60654, USA",RESTUANS,25, W GRAND AVE,46,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,6,2007,Tuesday,1
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",PIPIENS/RESTUANS,11, W ROOSEVELT,48,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,6,2007,Tuesday,1
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",RESTUANS,11, W ROOSEVELT,48,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,6,2007,Tuesday,1
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",PIPIENS,11, W ROOSEVELT,48,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,6,2007,Tuesday,2
2007-06-05,"1100 West Chicago Avenue, Chicago, IL 60642, USA",RESTUANS,11, W CHICAGO,49,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,2,0,6,2007,Tuesday,2
2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",PIPIENS/RESTUANS,21, N STAVE ST,50,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,6,2007,Tuesday,1
2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",RESTUANS,21, N STAVE ST,50,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,6,2007,Tuesday,1
2007-06-05,"2200 North Cannon Drive, Chicago, IL 60614, USA",RESTUANS,22, N CANNON DR,54,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,6,2007,Tuesday,3
2007-06-05,"2200 West 113th Street, Chicago, IL 60643, USA",RESTUANS,22, W 113TH ST,86,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,4,0,6,2007,Tuesday,4
2007-06-05,"1700 West 95th Street, Chicago, IL 60643, USA",PIPIENS/RESTUANS,17, W 95TH ST,94,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,2,0,6,2007,Tuesday,2
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",PIPIENS/RESTUANS,22, W 89TH ST,96,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,6,2007,Tuesday,1
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",RESTUANS,22, W 89TH ST,96,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,6,2007,Tuesday,1
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",PIPIENS,22, W 89TH ST,96,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,6,2007,Tuesday,1
2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",PIPIENS/RESTUANS,65, N OAK PARK AVE,143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,2,0,6,2007,Tuesday,2
2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",RESTUANS,65, N OAK PARK AVE,143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,9,0,6,2007,Tuesday,9
2007-06-05,"1500 North Long Avenue, Chicago, IL 60651, USA",RESTUANS,15, N LONG AVE,153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,3,0,6,2007,Tuesday,3
2007-06-05,"8900 South Carpenter Street, Chicago, IL 60620, USA",RESTUANS,89, S CARPENTER ST,159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,6,2007,Tuesday,1
2007-06-05,"9100 West Higgins Avenue, Chicago, IL 60656, USA",RESTUANS,91, W HIGGINS AVE,9,"9100  W HIGGINS AVE, Chicago, IL",41.981964000000005,-87.812827,8,2,0,6,2007,Tuesday,2
2007-06-05,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",RESTUANS,36, N PITTSBURGH AVE,11,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,1,0,6,2007,Tuesday,1
2007-06-05,"7200 North Oketo Avenue, Chicago, IL 60631, USA",RESTUANS,72, N OKETO AVE,16,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.81150600000001,8,1,0,6,2007,Tuesday,1
2007-06-05,"3800 North California Avenue, Chicago, IL 60618, USA",RESTUANS,38, N CALIFORNIA AVE,19,"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.69845699999999,9,1,0,6,2007,Tuesday,1
2007-06-05,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",RESTUANS,49, W BALMORAL AVE,25,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9,1,0,6,2007,Tuesday,1
2007-06-05,"5800 North Western Avenue, Chicago, IL 60659, USA",RESTUANS,58, N WESTERN AVE,28,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,2,0,6,2007,Tuesday,2
2007-06-05,"5000 South Central Avenue, Chicago, IL 60638, USA",PIPIENS/RESTUANS,50, S CENTRAL AVE,31,"5000  S CENTRAL AVE, Chicago, IL",41.801497999999995,-87.763416,9,1,0,6,2007,Tuesday,1
2007-06-05,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",RESTUANS,14, N HUMBOLDT DR,33,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9,3,0,6,2007,Tuesday,3
2007-06-05,"South Vincennes Avenue, Chicago, IL, USA",RESTUANS,10, S VINCENNES,89,"1000  S VINCENNES, Chicago, IL",41.723195000000004,-87.64997,5,1,0,6,2007,Tuesday,1
2007-06-05,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",PIPIENS/RESTUANS,11, S ASHLAND AVE,90,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,1,0,6,2007,Tuesday,1
2007-06-05,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",RESTUANS,11, S ASHLAND AVE,90,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,7,0,6,2007,Tuesday,7
2007-06-05,"1100 South State Street, Chicago, IL 60605, USA",PIPIENS/RESTUANS,11, S STATE ST,92,"1100  S STATE ST, Chicago, IL",41.869215999999994,-87.627561,8,1,0,6,2007,Tuesday,1
2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",PIPIENS/RESTUANS,42, W 127TH PL,135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,2,0,6,2007,Tuesday,2
2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",RESTUANS,42, W 127TH PL,135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,4,0,6,2007,Tuesday,4
2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",PIPIENS,42, W 127TH PL,135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,1,0,6,2007,Tuesday,1
2007-06-05,"5300 West Agatite Avenue, Chicago, IL 60630, USA",PIPIENS/RESTUANS,53, W AGATITE AVE,141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,1,0,6,2007,Tuesday,1
2007-06-05,"5300 West Agatite Avenue, Chicago, IL 60630, USA",RESTUANS,53, W AGATITE AVE,141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,2,0,6,2007,Tuesday,2
2007-06-05,"4000 North Austin Avenue, Chicago, IL 60634, USA",PIPIENS/RESTUANS,40, N AUSTIN AVE,142,"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,8,1,0,6,2007,Tuesday,1
2007-06-05,"4000 North Austin Avenue, Chicago, IL 60634, USA",RESTUANS,40, N AUSTIN AVE,142,"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,8,3,0,6,2007,Tuesday,3
2007-06-05,"Chicago, IL, USA",RESTUANS,43, N ASHLAND AVE OVERPASS,145,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114000000004,-87.629798,3,3,0,6,2007,Tuesday,3
2007-06-05,"4200 North Richmond Street, Chicago, IL 60618, USA",PIPIENS/RESTUANS,42, N RICHMOND ST,146,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9,1,0,6,2007,Tuesday,1
2007-06-05,"4200 North Richmond Street, Chicago, IL 60618, USA",RESTUANS,42, N RICHMOND ST,146,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9,2,0,6,2007,Tuesday,2
2007-06-05,"2800 North Francisco Avenue, Chicago, IL 60618, USA",RESTUANS,28, N FRANCISCO AVE,147,"2800  N FRANCISCO AVE, Chicago, IL",41.932094,-87.700117,8,1,0,6,2007,Tuesday,1
2007-06-05,"1500 West Granville Avenue, Chicago, IL 60660, USA",PIPIENS/RESTUANS,15, W GRANVILLE AVE,149,"1500  W GRANVILLE AVE, Chicago, IL",41.994469,-87.667736,8,1,0,6,2007,Tuesday,1
2007-06-05,"1800 West Farwell Avenue, Chicago, IL 60626, USA",RESTUANS,18, W FARWELL AVE,150,"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,9,2,0,6,2007,Tuesday,2
2007-06-05,"7000 West Armitage Avenue, Chicago, IL 60707, USA",PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,1,0,6,2007,Tuesday,1
2007-06-05,"7000 West Armitage Avenue, Chicago, IL 60707, USA",RESTUANS,70,  W ARMITAGE AVENUE,151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,10,0,6,2007,Tuesday,10
2007-06-05,"2500 South Millard Avenue, Chicago, IL 60623, USA",RESTUANS,25, S MILLARD AVE,152,"2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,9,1,0,6,2007,Tuesday,1
2007-06-05,"2100 North Lawler Avenue, Chicago, IL 60639, USA",RESTUANS,21, N LAWLER AVE,154,"2100  N LAWLER AVE, Chicago, IL",41.918704999999996,-87.752329,8,1,0,6,2007,Tuesday,1
2007-06-05,"3500 West 116th Street, Chicago, IL 60655, USA",PIPIENS/RESTUANS,35, W 116TH ST,158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9,3,0,6,2007,Tuesday,3
2007-06-05,"3500 West 116th Street, Chicago, IL 60655, USA",RESTUANS,35, W 116TH ST,158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9,8,0,6,2007,Tuesday,8
2007-06-05,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,162,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725516999999996,-87.61425799999999,8,1,0,6,2007,Tuesday,1
2007-06-05,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",PIPIENS/RESTUANS,37, N KEDVALE AVE,218,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,8,2,0,6,2007,Tuesday,2
2007-06-05,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",RESTUANS,37, N KEDVALE AVE,218,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,8,1,0,6,2007,Tuesday,1
2007-06-05,"4500 North Campbell Avenue, Chicago, IL 60625, USA",RESTUANS,45, N CAMPBELL AVE,220,"4500  N CAMPBELL AVE, Chicago, IL",41.963976,-87.69181,9,1,0,6,2007,Tuesday,1
2007-06-26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",PIPIENS/RESTUANS,41, N OAK PARK AVE,2,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6,2007,Tuesday,1
2007-06-26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",RESTUANS,41, N OAK PARK AVE,2,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,6,2007,Tuesday,4
2007-06-26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",Others,41, N OAK PARK AVE,2,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6,2007,Tuesday,1
2007-06-26,"6200 North Mandell Avenue, Chicago, IL 60646, USA",PIPIENS/RESTUANS,62, N MANDELL AVE,7,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,6,2007,Tuesday,1
2007-06-26,"6200 North Mandell Avenue, Chicago, IL 60646, USA",RESTUANS,62, N MANDELL AVE,7,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,4,0,6,2007,Tuesday,4
2007-06-26,"7900 West Foster Avenue, Chicago, IL 60656, USA",RESTUANS,79, W FOSTER AVE,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,6,2007,Tuesday,1
2007-06-26,"1500 West Webster Avenue, Chicago, IL 60614, USA",PIPIENS/RESTUANS,15, W WEBSTER AVE,45,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,6,2007,Tuesday,1
2007-06-26,"1500 West Webster Avenue, Chicago, IL 60614, USA",RESTUANS,15, W WEBSTER AVE,45,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,6,2007,Tuesday,1
2007-06-26,"2500 West Grand Avenue, Chicago, IL 60654, USA",PIPIENS/RESTUANS,25, W GRAND AVE,46,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,6,2007,Tuesday,1
2007-06-26,"2500 West Grand Avenue, Chicago, IL 60654, USA",RESTUANS,25, W GRAND AVE,46,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,6,0,6,2007,Tuesday,6
2007-06-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",PIPIENS/RESTUANS,11, W ROOSEVELT,48,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,6,2007,Tuesday,2
2007-06-26,"1100 West Chicago Avenue, Chicago, IL 60642, USA",RESTUANS,11, W CHICAGO,49,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,6,2007,Tuesday,1
2007-06-26,"2100 North Stave Street, Chicago, IL 60647, USA",RESTUANS,21, N STAVE ST,50,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,6,2007,Tuesday,1
2007-06-26,"2200 West 113th Street, Chicago, IL 60643, USA",PIPIENS/RESTUANS,22, W 113TH ST,86,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,6,2007,Tuesday,2
2007-06-26,"2200 West 113th Street, Chicago, IL 60643, USA",RESTUANS,22, W 113TH ST,86,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,2,0,6,2007,Tuesday,2
2007-06-26,"2200 West 89th Street, Chicago, IL 60643, USA",RESTUANS,22, W 89TH ST,96,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,6,2007,Tuesday,5
2007-06-26,"North Streeter Drive, Chicago, IL 60611, USA",PIPIENS/RESTUANS,53, N STREETER DR,129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,6,2007,Tuesday,1
2007-06-26,"North Streeter Drive, Chicago, IL 60611, USA",RESTUANS,53, N STREETER DR,129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,6,2007,Tuesday,1
2007-06-26,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",PIPIENS/RESTUANS,65, N OAK PARK AVE,143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,6,2007,Tuesday,1
2007-06-26,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",RESTUANS,65, N OAK PARK AVE,143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,6,2007,Tuesday,1
2007-06-26,"7500 North Oakley Avenue, Chicago, IL 60645, USA",PIPIENS/RESTUANS,75, N OAKLEY AVE,148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,2,0,6,2007,Tuesday,2
2007-06-26,"7500 North Oakley Avenue, Chicago, IL 60645, USA",RESTUANS,75, N OAKLEY AVE,148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,2,0,6,2007,Tuesday,2
2007-06-26,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",PIPIENS/RESTUANS,36, N PITTSBURGH AVE,11,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,2,0,6,2007,Tuesday,2
2007-06-26,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",RESTUANS,36, N PITTSBURGH AVE,11,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,4,0,6,2007,Tuesday,4
2007-06-26,"7200 North Oketo Avenue, Chicago, IL 60631, USA",PIPIENS/RESTUANS,72, N OKETO AVE,16,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.81150600000001,8,2,0,6,2007,Tuesday,2
2007-06-26,"7200 North Oketo Avenue, Chicago, IL 60631, USA",RESTUANS,72, N OKETO AVE,16,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.81150600000001,8,2,0,6,2007,Tuesday,2
2007-06-26,"3800 North California Avenue, Chicago, IL 60618, USA",RESTUANS,38, N CALIFORNIA AVE,19,"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.69845699999999,9,1,0,6,2007,Tuesday,1
2007-06-26,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",PIPIENS/RESTUANS,49, W BALMORAL AVE,25,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9,1,0,6,2007,Tuesday,1
2007-06-26,"5800 North Western Avenue, Chicago, IL 60659, USA",PIPIENS/RESTUANS,58, N WESTERN AVE,28,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,1,0,6,2007,Tuesday,1
2007-06-26,"5800 North Western Avenue, Chicago, IL 60659, USA",RESTUANS,58, N WESTERN AVE,28,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,9,0,6,2007,Tuesday,9
2007-06-26,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",PIPIENS/RESTUANS,14, N HUMBOLDT DR,33,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9,2,0,6,2007,Tuesday,2
2007-06-26,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",RESTUANS,14, N HUMBOLDT DR,33,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9,3,0,6,2007,Tuesday,3
2007-06-26,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",PIPIENS/RESTUANS,11, S ASHLAND AVE,90,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,10,0,6,2007,Tuesday,10
2007-06-26,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",RESTUANS,11, S ASHLAND AVE,90,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,19,0,6,2007,Tuesday,19
2007-06-26,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",PIPIENS,11, S ASHLAND AVE,90,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,1,0,6,2007,Tuesday,1
2007-06-26,"4200 West 127th Street, Alsip, IL 60803, USA",PIPIENS/RESTUANS,42, W 127TH PL,135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,20,0,6,2007,Tuesday,20
2007-06-26,"4200 West 127th Street, Alsip, IL 60803, USA",RESTUANS,42, W 127TH PL,135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,25,0,6,2007,Tuesday,25
2007-06-26,"4200 West 127th Street, Alsip, IL 60803, USA",PIPIENS,42, W 127TH PL,135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,6,0,6,2007,Tuesday,6
2007-06-26,"5300 West Agatite Avenue, Chicago, IL 60630, USA",PIPIENS/RESTUANS,53, W AGATITE AVE,141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,1,0,6,2007,Tuesday,1
